"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2022","North Dakota","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2012","North Dakota","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","North Dakota","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","North Dakota","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","North Dakota","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","40"
"2017","North Dakota","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","38"
"2022","North Dakota","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","39"
"2012","North Dakota","Government Organization","GO0018","Total population of county governments","001","State and Local","672,591"
"2017","North Dakota","Government Organization","GO0018","Total population of county governments","001","State and Local","755,393"
"2022","North Dakota","Government Organization","GO0018","Total population of county governments","001","State and Local","774,948"
"2012","North Dakota","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","131,591"
"2017","North Dakota","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","108,066"
"2022","North Dakota","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","96,850"
"2012","North Dakota","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","149,778"
"2017","North Dakota","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","177,787"
"2022","North Dakota","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","186,562"
"2012","North Dakota","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","27,471"
"2017","North Dakota","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","94,354"
"2022","North Dakota","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","105,141"
"2012","North Dakota","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2017","North Dakota","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2022","North Dakota","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","North Dakota","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","209,844"
"2017","North Dakota","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","234,771"
"2022","North Dakota","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","240,709"
"2012","North Dakota","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","North Dakota","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","North Dakota","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","North Dakota","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","153,907"
"2017","North Dakota","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","140,415"
"2022","North Dakota","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","145,686"
"2012","Ohio","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","88"
"2017","Ohio","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","88"
"2022","Ohio","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","88"
"2012","Ohio","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
"2017","Ohio","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
